GameId,HomeGamesAnalyzed,HomeWins,HomeDraws,HomeLosses,AwayGamesAnalyzed,AwayWins,AwayDraws,AwayLosses,Result
871168,0,0,0,0,0,0,0,0,Home
871238,8,3,2,3,8,3,2,3,Draw
871272,10,5,1,4,10,2,1,7,Home
871179,1,0,0,1,1,0,0,1,Draw
871182,2,2,0,0,2,0,2,0,Away
871282,10,6,2,2,10,6,3,1,Home
871351,10,2,2,6,10,0,2,8,Home
871172,0,0,0,0,0,0,0,0,Draw
871187,2,0,1,1,2,0,1,1,Draw
871190,2,0,2,0,2,1,0,1,Away
871297,10,2,1,7,10,6,3,1,Away
871353,10,6,3,1,10,6,2,2,Home
871166,0,0,0,0,0,0,0,0,Home
871205,4,0,2,2,4,1,3,0,Away
871230,7,2,4,1,7,5,0,2,Home
871280,10,5,1,4,10,1,2,7,Home
871293,10,2,3,5,10,5,3,2,Away
871307,10,3,1,6,10,2,3,5,Draw
871344,10,8,0,2,10,3,0,7,Home
871357,10,3,2,5,10,4,1,5,Home
871170,0,0,0,0,0,0,0,0,Away
871302,10,2,2,6,10,4,1,5,Home
871167,0,0,0,0,0,0,0,0,Home
871220,6,1,1,4,6,2,2,2,Draw
871251,9,0,5,4,9,1,1,7,Home
871200,4,3,0,1,4,3,0,1,Home
871208,4,0,3,1,4,0,2,2,Draw
871244,8,1,4,3,8,5,2,1,Draw
871263,10,5,4,1,10,4,3,3,Home
871271,10,4,2,4,10,2,5,3,Home
871252,9,1,3,5,9,4,2,3,Away
871255,10,2,2,6,10,2,4,4,Draw
871287,10,2,1,7,10,3,3,4,Home
871165,0,0,0,0,0,0,0,0,Home
871213,5,3,0,2,5,3,1,1,Home
871225,6,0,5,1,6,2,2,2,Away
871246,9,3,3,3,9,1,5,3,Home
871276,10,4,3,3,10,5,2,3,Away
871164,0,0,0,0,0,0,0,0,Away
871173,1,1,0,0,1,0,1,0,Home
871228,7,2,2,3,7,0,1,6,Home
871194,3,1,2,0,3,0,2,1,Draw
871218,6,2,0,4,6,3,3,0,Home
871243,8,0,5,3,8,5,2,1,Away
871284,10,3,3,4,10,3,3,4,Away
871289,10,1,1,8,10,3,2,5,Home
871337,10,5,1,4,10,3,2,5,Home
871318,10,6,1,3,10,5,1,4,Away
871269,10,1,4,5,10,4,2,4,Home
871267,10,6,2,2,10,5,1,4,Away
871305,10,6,3,1,10,5,3,2,Home
